# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
abacus	счёты
intention	намерение
intentional	умышленный
intentionally	специально
intentions	намерения
intently	внимательно
interaction	взаимодействие
interactions	взаимодействия
intercession	ходатайство
intercessions	ходатайства
interchange	обмен
interchanges	обмены
intercourse	общение
intercourses	общения
interdependence	взаимосвязь
interdependences	взаимосвязи
interestingly	интересно
interference	вмешательство
interferences	вмешательства
intergovernmental	межгосударственный
interim	промежуточный
interior	интерьер
interiors	интерьеры
intermediaries	посредники
intermediary	посредник
intermediate	промежуточный
interment	погребение
interments	погребения
interminable	бесконечный
intermission	перемена
intermissions	перемены
intern	стажёр
international	международный
internationalist	интернационалист
internationalists	интернационалисты
internet	интернет
internets	интернеты
interns	стажёры
internship	стажировка
internships	стажировки
interpretation	интерпретация
interpretations	интерпретации
interpreter	переводчик
interpreters	переводчики
interrogation	допрос
interrogations	допросы
interruption	перерыв
interruptions	перерывы
intersection	пересечение
intersections	пересечения
interstitial	промежуточный
interval	промежуток
intervals	промежутки
intervention	интервенция
interventions	интервенции
interview	интервью
interviews	беседы
intestine	кишка
intestines	кишки
intestineses	внутренности
intimacies	сближения
intimacy	близость
intimate	интимный
intimately	коротко
intolerable	невыносимый
intolerance	нетерпимость
intolerances	нетерпимости
intonation	интонация
intonations	интонации
intoxication	опьянение
intoxications	опьянения
intravenous	внутривенный
intrepid	бесстрашный
intricate	сложный
intricately	хитро
intrigue	интрига
intrigues	интриги
introduction	введение
introductions	введения
introductory	вступительный
intrusion	внедрение
intrusions	внедрения
intuition	интуиция
intuitions	интуиции
intuitively	интуитивно
invader	захватчик
invaders	захватчики
invalid	инвалид
invalids	инвалиды
invaluable	бесценный
invasion	вторжение
invention	изобретение
inventions	изобретения
inventiveness	выдумка
inventivenesses	выдумки
inventor	изобретатель
inventors	изобретатели
inversely	обратно
invertebrate	беспозвоночный
investigation	расследование
investigations	расследования
investigator	исследователь
investigators	исследователи
investigatory	следственный
investment	инвестиция
investments	инвестиции
investor	инвестор
investors	инвесторы
invincible	непобедимый
invisible	невидимый
invitation	приглашение
invitations	приглашения
invoice	фактура
invoices	фактуры
involuntarily	невольно
inwardly	внутренне
inwards	внутрь
iodine	йод
iodines	йоды
ion	ион
ions	ионы
iran	Иран
iranian	иранский
iraqi	иракский
ire	гнев
ireland	ирландия
ires	гневы
iridescent	радужный
iris	ирис
irises	ирисы
irish	ирландский
irishman	ирландец
irishmans	ирландцы
iron	железо
ironies	иронии
irony	ирония
irradiation	облучение
irradiations	облучения
irregular	неправильный
irregularities	перебои
irregularity	перебой
irregularly	неправильно
irrevocably	безвозвратно
irrigation	орошение
irrigations	орошения
irritation	раздражение
irritations	раздражения
islam	ислам
islams	исламы
island	остров
islands	острова
isle	остров
isles	острова
islet	островок
islets	островки
isolation	изоляция
isolations	изоляции
isotope	изотоп
isotopes	изотопы
israel	Израиль
israeli	израильский
israelis	израильтяне
israelite	иудей
israelites	иудеи
issue	выпуск
issues	выпуски
italian	итальянский
italians	итальянцы
italies	Италии
italy	Италия
item	предмет
items	предметы
itinerant	передвижной
itineraries	маршруты
itinerary	маршрут
jackal	шакал
jackals	шакалы
jacket	куртка
jackets	куртки
jaguar	ягуар
jaguars	ягуары
jail	тюрьма
jail-breaker	беглец
jails	тюрьмы
jam	джем
jams	джемы
janitor	дворник
janitors	дворники
januaries	январи
january	январь
japan	Япония
japanese	японский
japaneses	японцы
jar	банка
jars	банки
jasmin	жасмин
jaw	челюсть
jaws	челюсти
jazz	джаз
jealousies	ревности
jealousy	ревность
jeans	джинсы
jeep	джип
jeeps	джипы
jelly	желе
jellyfish	медуза
jellyfishes	медузы
jeopardies	опасности
jeopardy	опасность
jersey	джерси
jester	шут
jesters	шуты
jet	шутка
jets	шутки
jew	еврей
jewel	драгоценность
jewellery	ювелирный
jewelries	драгоценности
jewelry	драгоценность
jewels	драгоценности
jewish	еврейский
jews	евреи
job	работа
jobless	безработный
jobs	работы
joiner	столяр
joiners	столяры
joining	соединение
joinings	соединения
joint	совместный
joint-stock	акционерный
jointly	совместно
joints	суставы
joker	шутник
jokers	шутники
jolt	толчок
jolts	толчки
journal	журнал
journalism	журналистика
journalisms	журналистики
journalist	журналист
journalistic	журналистский
journalists	журналисты
journals	журналы
journey	путешествие
journeys	путешествия
joy	радость
joyful	радостный
joyous	радостный
joys	радости
jubilee	юбилей
jubilees	юбилеи
judas	иуда
judases	иуды
judgment	суд
judgments	суды
judicial	судебный
judicious	разумный
judo	дзюдо
jug	кувшин
jugs	кувшины
juice	сок
juices	соки
juicy	сочный
julies	июли
july	июль
jumble	каша
jumbles	каши
jumpsuit	комбинезон
jumpsuits	комбинезоны
junction	соединение
junctions	соединения
juncture	конъюнктура
junctures	конъюнктуры
june	июнь
junes	июни
jungle	джунгли
jungles	джунгли
junior	младший
junk	добро
junks	*добра
junta	хунта
juntas	хунты
jupiter	юпитер
jupiters	юпитеры
jurisdiction	юрисдикция
jurisdictions	юрисдикции
jurisprudence	юриспруденция
jurisprudences	юриспруденции
jurist	юрист
jurists	юристы
juror	присяжный
justice	справедливость
justices	справедливости
justification	оправдание
justifications	оправдания
jut	выступ
juts	выступы
juvenile	подросток
juveniles	подростки
kaleidoscope	калейдоскоп
kaleidoscopes	калейдоскопы
kamikaze	камикадзе
kangaroo	кенгуру
karate	карате
kazakh	казахский
kazakhs	казахи
kazakhstan	Казахстан
keel	киль
keels	кили
keen	сильный
keenly	остро
keeper	хранитель
keepers	хранители
kennel	будка
kennels	будки
kernel	зерно
kernels	зёрна
kerosene	керосин
kerosenes	керосины
kettle	чайник
kettles	чайники
key	ключ
keyboard	клавиатура
keyboards	клавиатуры
keys	ключи
keystone	замок
keystones	замки
kgb	кгб
kgbs	спецслужбы
khaki	хаки
khan	хан
khans	ханы
kid	ребёнок
kiddies	детишки
kidnapper	похититель
kidnappers	похитители
kidney	почка
kidneys	почки
kidneyses	почки
kids	дети
kiev	Киев
killer	убийца
killers	убийцы
kilogram	килограмм
kilograms	килограммы
kilometre	километр
kilometres	километры
kilowatt	киловатт
kilowatt-hour	киловатт-час
kilowatts	киловатты
kimono	кимоно
kin	родной
kind	добрый
kindergarten	детсад
kindergartens	детсады
kindly	любезно
kindness	внимание
kindnesses	внимания
kindred	родственный
kindreds	родственники
kinds	сорта
king	король
kingdom	королевство
kingdoms	королевства
kings	короли
kins	родни
kinship	родство
kinships	*родства
kinsman	родственник
kinsmen	родственники
kiosk	киоск
kiosks	киоски
kit	набор
kitchen	кухня
kitchen-garden	огород
kitchens	кухни
kite	коршун
kites	коршуны
kits	наборы
kitten	котёнок
kittens	котята
kitties	коны
kitty	кон
knee	колено
knees	колени
knife	нож
knight	рыцарь
knights	рыцари
knives	ножи
knob	шишка
knobs	шишки
knock-out	нокаут
knoll	холм
knolls	холмы
knot	узел
knots	узлы
know-all	умник
know-how	ноу-хау
knowledge	знание
knowledgeable	ориентированный
knowledges	знания
konstantin	константин
konstantins	Константины
koran	коран
korans	кораны
korea	корея
korean	корейский
koreans	корейцы
kremlin	кремль
kremlins	кремли
kyiv	киевский
label	этикетка
labels	этикетки
laboratories	лаборатории
laboratory	лаборатория
labour	труд
labourer	рабочий
labourers	рабочие
labours	труды
labyrinth	лабиринт
labyrinths	лабиринты
lace	шнурок
laces	шнурки
lackey	лакей
lackeys	лакеи
lacquer	лак
lacquers	лаки
lactic	молочный
lad	парень
ladder	лестница
ladders	лестницы
ladies	дамы
lads	ребята
ladses	ребята
lady	леди
lady-in-waiting	статс-дама
lady-love	возлюбленная
lag	отставание
lagoon	лагуна
lagoons	лагуны
lags	отставания
lair	логово
lairs	логова
lake	озеро
lakes	озёра
lakeside	береговой
lama	лама
lamb	ягнёнок
lambs	ягнята
lame	хромой
lamp	лампа
lamp-bracket	бра
lamp-holder	патрон
lamp-socket	патрон
lamps	лампы
land	земля
land-improvement	мелиорация
land-reclamation	мелиорация
land-surveying	геодезия
landing	десант
landings	десанты
landladies	хозяйки
landlady	хозяйка
landlord	хозяин
landlords	хозяева
landmark	веха
landmarks	вехи
landowner	помещик
landowners	помещики
lands	земли
landscape	ландшафт
landscapes	ландшафты
landslide	обвал
landslides	обвалы
lane	переулок
lanes	переулки
language	язык
languages	языки
lantern	фонарь
lanterns	фонари
lap	этап
lap-dog	собачка
lap-robe	полость
lapel	борт
lapels	борта
laps	этапы
laptop	ноутбук
laptops	ноутбуки
larcenies	кражи
larceny	кража
lard	сало
lards	сала
large	крупный
large-scale	крупный
larger	больше
largest	крупнейший
lark	жаворонок
larks	жаворонки
larva	личинка
larvae	личинки
larynx	гортань
larynxes	гортани
laser	лазер
lasers	лазеры
lash	удар
lashes	удары
lass	девушка
lasses	девушки
lassie	лапочка
lassies	лапочки
last	последний
late	поздно
latent	скрытый
later	позже
lateral	боковой
latest	последний
lather	пена
lathers	пены
latin	латинский
latin-american	латиноамериканский
latitude	широта
latitudes	широты
latter	последний
lattice	решётка
lattices	решётки
latvia	Латвия
latvian	латвийский
laughter	смех
laughters	смехи
laundries	стирки
laundry	бельё
laureate	лауреат
laureates	лауреаты
lava	лава
lavatories	туалеты
lavatory	туалет
lavish	обильный
law	закон
law-court	суд
law-giver	законодатель
law-maker	законодатель
lawful	законный
lawfully	законно
lawlessness	беззаконие
lawlessnesses	беззакония
lawn	газон
lawns	газоны
laws	законы
lawsuit	процесс
lawsuits	процессы
lawyer	юрист
lawyers	юристы
lay-out	устройство
layer	слой
layers	слои
laying-in	заготовка
layout	расположение
layouts	расположения
lazily	лениво
laziness	лень
lazy	ленивый
lead-in	ввод
leader	руководитель
leaders	руководители
leaderses	руководства
leadership	руководство
leaderships	руководства
leaf	лист
leaf-bud	почка
leaflet	листовка
leaflets	листовки
league	лига
leagues	лиги
leakage	утечка
leakages	утечки
lean-to	навес
learner	ученик
learners	ученики
leather	кожа
leather-dresser	кожевник
leathers	кожи
leave-taking	прощание
leaves	листья
lecture	лекция
lecture-hall	аудитория
lecture-room	аудитория
lecturer	лектор
lecturers	лекторы
lectures	лекции
ledge	выступ
ledges	выступы
lees	гуща
leeses	гущи
left-hand	левый
left-hander	левша
left-wing	левый
left-winger	левый
leftist	левый
leftists	левые
leftovers	остаток
leftoverses	остатки
leg	нога
legacies	наследия
legacy	наследие
legal	правовой
legalities	законности
legality	законность
legalization	легализация
legalizations	легализации
legally	законно
legation	миссия
legations	миссии
legend	легенда
legendary	легендарный
legends	легенды
legible	чёткий
legion	легион
legions	легионы
legislation	законодательство
legislations	законодательства
legislative	законодательный
legislator	законодатель
legislators	законодатели
legitimate	законный
legs	ноги
leisure	досуг
leisure-time	досуг
leisures	досуги
lemon	лимон
lemonade	лимонад
lemonades	лимонады
lemons	лимоны
length	длина
lengths	длины
lengthwise	продольный
lengthy	длинный
lenin	ленинский
leningrad	Ленинград
lens	линза
lenses	линзы
leo	лев
leopard	леопард
leopards	леопарды
leos	львы
lessee	арендатор
lessees	арендаторы
lesser	меньший
lesson	урок
lessons	уроки
lessonses	занятия
letter	письмо
letter-carrier	почтальон
letters	письма
lettuce	салат
lettuces	салаты
lev	лев
level	уровень
levels	уровни
lever	рычаг
levers	рычаги
leviathan	левиафан
levies	взимания
levs	львы
levy	взимание
lew	лев
lews	львы
lexical	словарный
liabilities	обязательство
liabilitieses	обязательства
liable	подверженный
liaison	связной
liar	лжец
liars	лжецы
libel	клевета
libels	клеветы
liberal	либеральный
liberalism	либерализм
liberalisms	либерализмы
liberals	либералы
liberation	освобождение
liberations	освобождения
liberties	свободы
liberty	свобода
libra	весы
librarian	библиотекарь
librarians	библиотекари
libraries	библиотеки
library	библиотека
libretto	либретто
licence	лицензия
licences	лицензии
lid	крышка
lids	крышки
lieutenant	лейтенант
lieutenant-colonel	подполковник
lieutenant-general	генерал-лейтенант
lieutenants	лейтенанты
life	жизнь
life-saver	спасатель
life-saving	спасательный
life-support	жизнеобеспечение
lifeless	каменный
lifelong	пожизненный
lifetime	век
lifetimes	века
ligament	связка
ligaments	связки
light	свет
lighter	полегче
lighters	зажигалки
lighthouse	маяк
lighthouses	маяки
lighting	освещение
lightings	освещения
lightly	легко
lightness	лёгкость
lightnesses	лёгкости
lightning	молния
lightnings	молнии
lights	*светы
likable	симпатичный
likelihood	вероятность
likelihoods	вероятности
likely	вероятный
likeness	подобие
likenesses	подобия
lilac	сирень
lilacs	сирени
lili	лилия
lilis	лилии
limb	член
limbs	члены
lime	липа
limes	липы
limestone	известняк
limestones	известняки
limit	предел
limitation	ограничение
limitations	ограничения
limitless	неограниченный
limits	пределы
limousine	лимузин
limousines	лимузины
linden	липа
lindens	липы
line	линия
lineage	происхождение
lineages	происхождения
linear	линейный
linen	полотно
linens	полотна
liner	лайнер
liners	лайнеры
lines	линии
ling	щука
lings	щуки
linguist	лингвист
linguistic	лингвистический
linguistics	языкознание
linguists	лингвисты
link	связь
link-verb	глагол-связка
links	связи
lion	лев
lioness	львица
lionesses	львицы
lions	львы
lip	губа
lips	губы
lipstick	помада
lipsticks	помады
liquid	жидкость
liquidation	ликвидация
liquidations	ликвидации
liquids	жидкости
liquor	вино
liquors	вина
lira	лира
lire	лиры
list	список
listener	слушатель
listeners	слушатели
lists	списки
literacies	грамотности
literacy	грамотность
literal	буквальный
literally	буквально
literary	литературный
literate	грамотный
literature	литература
literatures	литературы
lithium	литий
lithuania	Литва
lithuanian	литовский
lithuanians	литовцы
litre	литр
litres	литры
litter	носилки
littoral	приморье
littorals	приморья
liturgies	литургии
liturgy	литургия
lively	яркий
liver	печень
livers	печени
lives	жизни
livestock	скот
livestocks	скоты
living	проживание
livings	проживания
lizard	ящерица
lizards	ящерицы
load	груз
load-bearing	несущий
loading	нагрузка
loadings	нагрузки
loads	грузы
loaf	хлеб
loan	заём
loan-word	заимствование
loans	займы
loathsome	отвратительный
loaves	хлебы
lobbies	холлы
lobby	холл
lobe	доля
lobes	доли
lobster	омар
lobsters	омары
local	местный
localities	места
locality	место
localization	локализация
localizations	локализации
location	положение
locations	положения
lock	затвор
locker	шкаф
lockers	шкафы
locket	медальон
lockets	медальоны
locks	затворы
locksmith	слесарь
locksmiths	слесари
locomotive	локомотив
locomotive-driver	машинист
locomotives	локомотивы
lode	жила
lodes	жилы
lodger	постоялец
lodgers	постояльцы
log	бревно
logic	логика
logical	логично
logically	логично
logics	логики
logs	брёвна
london	Лондон
lone	одинокий
loneliness	одиночество
lonelinesses	одиночества
lonely	одиноко
long	долгий
long-awaited	долгожданный
long-dated	долгосрочный
long-expected	долгожданный
long-standing	давний
long-term	долгосрочный
longed-for	желанный
longevities	долголетия
longevity	долголетие
longitude	долгота
longitudes	долготы
longitudinal	продольный
loo	туалет
looking-glass	зеркало
loonies	психи
loony	псих
loop	петля
loops	петли
loos	туалеты
loose	свободный
loose-fitting	свободный
loot	добыча
loots	добычи
lord	господи
lords	лорды
lorries	грузовики
lorry	грузовик
loss	потеря
losses	потери
losseses	потери
lotteries	лотереи
lottery	лотерея
lotus	лотос
lotuses	лотосы
loud	громко
lounge-car	салон-вагон
lousy	хреновый
lovely	прелестно
lover	любовник
lovers	любовники
low	низкий
lower	ниже
lowland	низменность
lowlands	низменности
loyal	верный
loyalties	лояльности
loyalty	лояльность
lubricant	смазка
lubricants	смазки
lubrication	смазка
lubrications	смазки
lucid	ясный
luck	успех
lucks	успехи
lucky	счастливый
lucrative	хлебный
ludicrous	смешной
luge	сани
luges	сани
luggage	багаж
lullabies	колыбельные
lullaby	колыбельная
lumber	хлам
lumbers	хламы
luminescence	свечение
luminescences	свечения
luminous	светящийся
lump	комок
lumps	комки
lunar	лунный
lunatic	сумасшедший
lunch	обед
lunch-time	обед
luncheon	завтрак
luncheons	завтраки
lunches	обеды
lung	лёгкое
lunge	выпад
lunges	выпады
lungs	лёгкие
lust	похоть
lustre	блеск
lux	люкс
luxes	люксы
luxurious	роскошный
luxury	роскошь
lviv	львовский
lviv-based	львовский
lyceum	лицей
lyceums	лицеи
lying-in	роды
lynx	рысь
lynxes	рыси
lyra	лира
lyras	лиры
lyre	лира
lyres	лиры
lyric	лирический
lyrical	лирический
ma	тётка
macaroni	макароны
mace	маз
macedonia	Македония
macedonian	македонский
maces	мазы
machinations	кухня
machinationses	кухни
machine	аппарат
machine-building	машиностроительный
machine-gun	пулемёт
machineries	аппараты
machinery	аппарат
machines	аппараты
machinist	машинист
machinists	машинисты
mackintosh	плащ
mackintoshes	плащи
mad	шалый
madam	мадам
madame	госпожа
madames	госпожи
madams	сударыни
mademoiselle	мадемуазель
mademoiselles	мадемуазели
madly	безумно
madman	псих
madmen	психи
madness	безумие
madnesses	безумия
madonna	мадонна
madonnas	мадонны
maelstrom	водоворот
maelstroms	водовороты
maestro	маэстро
mafia	мафия
mafias	мафии
magazine	журнал
magazines	журналы
maggot	личинка
maggots	личинки
magic	магия
magical	магический
magician	волшебник
magicians	волшебники
magics	магии
magnate	магнат
magnates	магнаты
magnesium	магний
magnesiums	магнии
magnet	магнит
magnetic	магнитный
magnets	магниты
magnification	увеличение
magnifications	увеличения
magnificence	блеск
magnificences	великолепия
magnificent	великолепный
magnificently	здорово
magnitude	величина
magnitudes	величины
magpie	сорока
magpies	сороки
maid	прислуга
maiden	дева
maidens	девы
maids	прислуги
main	главный
mainland	материк
mainlands	материки
mainly	преимущественно
mains	магистрали
maintenance	содержание
maintenances	содержания
maize	кукуруза
maizes	кукурузы
majestic	гордый
majesties	величества
majesty	величество
majlis	меджлис
majlises	меджлисы
major	майор
major-general	генерал-майор
majors	майоры
make-up	состав
maker	творец
makers	творцы
makings	данные
makingses	данные
malaria	малярия
malarias	малярии
malaysia	Малайзия
male	самец
males	самцы
malfunction	сбой
malfunctions	сбои
malice	злость
malices	злости
malicious	злой
maliciouslies	зла
maliciously	зло
malignant	злокачественный
mama	мама
mamas	мамы
mammal	млекопитающий
mammals	млекопитающие
mammoth	мамонт
mammoths	мамонты
man	мужчина
man-made	искусственный
man-servant	лакей
management	администрация
managements	администрации
manager	менеджер
managerial	административный
managers	менеджеры
mandate	мандат
mandates	мандаты
maneuver	маневр
maneuvers	маневры
manganese	марганец
manganeses	марганцы
manger	ясли
mangers	ясли
mango	манго
mania	мания
maniac	маньяк
maniacs	маньяки
manias	мании
manicure	маникюр
manicures	маникюры
manifestation	проявление
manifestations	проявления
manifestly	очевидно
manifesto	манифест
manifestos	манифесты
manifold	коллектор
manifolds	коллекторы
manipulation	манипуляция
manipulations	манипуляции
mankind	человечество
mankinds	человечества
manly	мужественный
manna	манна
mannas	манны
mannequin	манекен
mannequins	манекены
manner	образ
manners	образы
manoeuvre	комбинация
manoeuvres	комбинации
manor	имение
manors	имения
mansion	особняк
mansions	особняки
mantle	мантия
mantles	мантии
manual	руководство
manuals	руководства
manufacture	производство
manufacturer	промышленник
manufacturers	промышленники
manufactures	производства
manure	навоз
manures	навозы
manuscript	рукопись
manuscripts	рукописи
many-coloured	разноцветный
map	карта
map-case	планшет
maps	карты
marathon	марафон
marathons	марафоны
marble	мрамор
march	март
marches	марты
mare	кобыла
mares	кобылы
margin	поле
margins	поля
mari	мари
marijuana	марихуана
marijuanas	марихуаны
marine	морской
marines	марины
maritime	морской
marker	маркёр
markers	маркеры
market	рынок
marketable	товарный
marketing	маркетинг
marketings	маркетинги
markets	рынки
marking	маркировка
marking-out	разметка
markings	маркировки
marquee	шатёр
marquees	шатры
marriage	брак
marriages	браки
marrow	мозг
marrows	мозги
marsh	болото
marsh-gas	метан
marshal	маршал
marshals	маршалы
marshes	болота
marshmallow	зефир
marshmallows	зефиры
martial	боевой
martyr	мученик
martyrs	мученики
marvel	чудо
marvellous	дивный
marvels	чудеса
marxism	марксизм
marxisms	марксизмы
marxist	марксист
marxists	марксисты
mas	тётки
masculine	мужской
mask	маска
masks	маски
masquerade	маскарад
masquerades	маскарады
mass	масса
mass-meeting	митинг
massacre	избиение
massacres	избиения
massage	массаж
massages	массажи
masses	массы
massif	массив
massifs	массивы
massive	массивный
mast	мачта
master	хозяин
masterful	властный
masteries	*мастерства
masterpiece	шедевр
masterpieces	шедевры
masters	хозяева
mastery	мастерство
mastiff	дог
mastiffs	доги
masts	мачты
mat	мат
mat-bag	куль
match	матч
matches	матчи
mate	мат
material	материал
materials	материалы
materiel	техника
materiels	техники
maternal	материнский
maternities	материнства
maternity	материнство
mates	маты
mathematical	математический
mathematician	математик
mathematicians	математики
mathematics	математика
mathematicses	математики
mating-place	ток
matrices	матрицы
matrimonial	супружеский
matrimonies	браки
matrimony	брак
matrix	матрица
matron	сестра-хозяйка
mats	маты
mattress	матрас
mattresses	матрасы
maturities	зрелости
maturity	зрелость
mausoleum	мавзолей
mausoleums	мавзолеи
maxim	правило
maxims	правила
maximum	максимум
maximums	максимумы
may-day	майский
maybe	наверное
maybes	чаи
mayonnaise	майонез
mayonnaises	майонезы
mayor	мэр
mayors	мэры
maze	лабиринт
mazes	лабиринты
mead	мёд
meadow	луг
meadows	луга
meads	меды
meal	еда
meaning	значение
meaningful	значимый
meaningless	тупой
meanings	значения
measles	корь
measleses	кори
measure	мера
measurement	измерение
measurements	измерения
measures	меры
meat	мясо
meat-chopper	мясорубка
meat-grinder	мясорубка
mechanic	механик
mechanical	механический
mechanics	механики
mechanism	механизм
mechanisms	механизмы
medal	медаль
medallion	медальон
medallions	медальоны
medals	медали
media	сми
mediation	посредничество
mediations	посредничества
mediator	посредник
mediators	посредники
medical	медицинский
medicals	медосмотры
medicinal	лекарственный
medicine	медицина
medicines	медицины
medieval	средневековый
meditation	медитация
meditations	медитации
medium	среда
medley	смесь
medleys	смеси
medusa	медуза
medusas	медузы
meekly	смиренно
meeting	встреча
meetings	встречи
megaphone	мегафон
megaphones	мегафоны
melancholy	тоска
melee	схватка
melees	схватки
melodies	мелодии
melodrama	мелодрама
melodramas	мелодрамы
melodramatic	театральный
melody	мелодия
melon	дыня
melons	дыни
member	член
members	члены
membership	состав
memberships	составы
membrane	мембрана
membranes	мембраны
memoirs	мемуары
memoirses	мемуары
memorable	памятный
memorandum	меморандум
memorandums	меморандумы
memorial	памятник
memorials	памятники
memories	памяти
memory	память
men	мужчины
menial	дворовый
mental	психический
mentalities	менталитеты
mentality	менталитет
mentally	мысленно
mentor	наставник
mentors	наставники
menu	меню
mercedes	мерседес
mercenaries	наёмники
mercenary	наёмник
merchant	торговец
merchants	торговцы
mercies	милости
merciful	милостивый
merciless	безжалостно
mercury	меркурий
mercy	милость
mere	чистый
merely	чисто
merger	комбинация
mergers	комбинации
meridian	меридиан
meridians	меридианы
merit	заслуга
merits	заслуги
mermaid	русалка
mermaids	русалки
merriment	веселье
merriments	веселья
merry	развесёлый
merry-go-round	карусель
merry-making	веселье
mess	мура
mess-dish	бак
mess-tin	котелок
message	сообщение
messages	сообщения
messenger	курьер
messengers	курьеры
messes	*муры
messiah	мессия
messiahs	мессии
messieurs	господа
messrs	господа
metal	металл
metal-worker	металлист
metallic	металлический
metallurgical	металлургический
metallurgies	металлургии
metallurgy	металлургия
metals	металлы
metamorphoses	превращения
metamorphosis	превращение
metaphor	метафора
metaphorical	переносный
metaphors	метафоры
meteor	метеор
meteorite	метеорит
meteorites	метеориты
meteorological	метеорологический
meteorologies	метеорологии
meteorology	метеорология
meteors	метеоры
meter	счётчик
meters	счётчики
methane	метан
methanes	метаны
methinks	чай
methinkses	чаи
method	способ
methodical	систематический
methodically	систематически
methodological	методологический
methodologies	методологии
methodology	методология
methods	способы
metre	метр
metres	метры
metro	метро
metrology	метрология
metropolis	столица
metropolises	столицы
metropolitan	митрополит
metropolitans	митрополиты
metros	метрополитены
mew	чайка
mews	чайки
mexican	мексиканский
mexicans	мексиканцы
mice	мыши
micro-district	микрорайон
microbe	микроб
microbes	микробы
microbiologies	микробиологии
microbiology	микробиология
microphone	микрофон
microphones	микрофоны
microscope	микроскоп
microscopes	микроскопы
midday	полдень
middays	полдни
middle	средний
middle-aged	солидный
middleman	посредник
middlemen	посредники
middles	середины
midnight	полночь
midnights	полночи
midshipman	мичман
midshipmen	мичманы
midst	середина
midsts	середины
mighty	больно
migrant	мигрант
migrants	мигранты
migration	миграция
migrations	миграции
migratory	миграционный
mike	микрофон
mikes	микрофоны
milan	Милан
mild	тёплый
mildly	мягко
mile	миля
miles	мили
milestone	верста
milestones	вёрсты
milieu	среда
milieus	среды
militant	боевой
militarily	военно
military	военный
militia	милиция
militias	милиции
milk	молоко
milky	молочный
mill	мельница
millennium	тысячелетие
millenniums	тысячелетия
miller	мельник
millers	мельники
millimetre	миллиметр
millimetres	миллиметры
million	миллион
millionaire	миллионер
millionaires	миллионеры
millions	миллионы
millionth	миллионный
mills	мельницы
mind	ум
minds	умы
mindset	настроение
mindsets	настроения
miner	шахтёр
mineral	минеральный
mineralogy	минералогия
minerals	минералы
miners	шахтёры
mini	мини
miniature	миниатюра
miniatures	миниатюры
minibus	микроавтобус
minibuses	микроавтобусы
minimum	минимум
minimums	минимумы
minion	фаворит
minions	фавориты
miniscule	ничтожно
minister	министр
ministers	министры
ministries	министерства
ministry	министерство
minor	несовершеннолетний
minorities	меньшинства
minority	меньшинство
minsk	Минск
minus	минус
minuses	минусы
minute	минута
minutes	минуты
miracle	чудо
miracles	чудеса
miraculous	чудесный
miraculously	чудом
mirage	мираж
mirages	миражи
mire	болото
mires	болота
mirror	зеркало
mirrors	зеркала
mirth	веселье
mirths	веселья
mis	неправильно
misappropriation	хищение
misappropriations	хищения
miscarriage	аборт
miscarriages	аборты
miser	скупой
miserable	горький
misfortune	беда
misfortunes	беды
misinterpretation	извращение
misinterpretations	извращения
misrepresentation	искажение
misrepresentations	искажения
misshapen	уродливый
missile	ракета
missiles	ракеты
mission	миссия
missions	миссии
missus	миссис
missuses	хозяйки
mist	туман
mistake	ошибка
mistakes	ошибки
mister	мистер
misters	мистеры
mistral	мистраль
mistress	хозяйка
mistresses	хозяйки
mists	туманы
misunderstanding	недоразумение
misunderstandings	недоразумения
misuse	злоупотребление
misuses	злоупотребления
mite	лепта
mites	лепты
mitigation	смягчение
mitigations	смягчения
mixture	смесь
mixtures	смеси
mob	сборище
mobile	мобильный
mobilities	подвижности
mobility	подвижность
mobilization	мобилизация
mobilizations	мобилизации
mobs	сборища
mock-up	макет
mockeries	издевательства
mockery	издевательство
mode	образ
model	модель
modelling	моделирование
modellings	моделирования
models	модели
moderate	умеренный
modern	современный
modernization	модернизация
modernizations	модернизации
modes	образы
modest	скромный
modesties	скромности
modestly	скромно
modesty	скромность
modification	модификация
modifications	модификации
module	модуль
modules	модули
moduli	модули
modulus	модуль
moist	мокрый
moisture	влага
moldova	Молдавия
mole	крот
molecular	молекулярный
molecule	молекула
molecules	молекулы
moles	кроты
mom	мама
moment	момент
momenta	инерции
momentary	минутный
moments	моменты
momentum	инерция
mommies	мамы
mommy	мама
moms	мамы
monarch	монарх
monarchies	монархии
monarchs	монархи
monarchy	монархия
monasteries	монастыри
monastery	монастырь
monastic	монастырский
monday	понедельник
mondays	понедельники
monetary	денежный
money	деньги
money-box	копилка
mongol	монгол
mongolian	монгольский
mongolians	монголы
mongols	монголы
mongrel	ублюдок
mongrels	ублюдки
monitor	монитор
monitors	мониторы
monk	монах
monkey	обезьяна
monkeys	обезьяны
monks	монахи
monogram	шифр
monograms	шифры
monograph	монография
monographs	монографии
monolith	монолит
monoliths	монолиты
monologue	монолог
monologues	монологи
monopolies	монополии
monopoly	монополия
monsieur	господин
monster	чудовище
