# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
(абсолютною)	absolute
функционировании	functioning
функционирований	functionings
функционированию	functioning
функционирования	functioning
функционированиям	functionings
функционированиями	functionings
функционированиях	functionings
функционировать	function
функцию	function
функция	function
функциям	functions
функциями	functions
функциях	functions
фунт	pound
фунта	pound
фунтам	pounds
фунтами	pounds
фунтах	pounds
фунте	pound
фунтов	pounds
фунтом	pound
фунту	pound
фунты	pounds
фургон	van
фургона	van
фургонам	vans
фургонами	vans
фургонах	vans
фургоне	van
фургонов	vans
фургоном	van
фургону	van
фургоны	vans
фут	foot
футбол	football
футбола	football
футболам	footballs
футболами	footballs
футболах	footballs
футболе	football
футболист	football-player
футболиста	football-player
футболистам	football-player
футболистами	football-player
футболистах	football-player
футболисте	football-player
футболистов	football-player
футболистом	football-player
футболисту	football-player
футболисты	football-player
футболка	T-Shirt
футболкам	T-Shirt
футболками	T-Shirt
футболках	T-Shirt
футболке	T-Shirt
футболки	T-Shirt
футболкой	T-Shirt
футболкою	T-Shirt
футболку	T-Shirt
футболов	footballs
футболок	T-Shirt
футболом	football
футболу	football
футболы	footballs
футляр	case
футляра	case
футлярам	cases
футлярами	cases
футлярах	cases
футляре	case
футляров	cases
футляром	case
футляру	case
футляры	cases
фюрер	Fuhrer
фюрера	Fuhrer
фюрерам	Fuhrers
фюрерами	Fuhrers
фюрерах	Fuhrers
фюрере	Fuhrer
фюреров	Fuhrers
фюрером	Fuhrer
фюреру	Fuhrer
фюреры	Fuhrers
ха	ha
хабаровский	Khabarovsk
хадж	Hadji
хаджа	Hadji
хаджам	Hadjis
хаджами	Hadjis
хаджах	Hadjis
хадже	Hadji
хаджей	Hadjis
хаджем	Hadji
хаджи	Hadjis
хаджу	Hadji
хай	find fault
хайте	find fault
хаки	khaki
халат	dressing-gown
халата	dressing-gown
халатам	dressing-gown
халатами	dressing-gown
халатах	dressing-gown
халате	dressing-gown
халатностей	carelessnesses
халатности	carelessness
халатность	carelessness
халатностью	carelessness
халатностям	carelessnesses
халатностями	carelessnesses
халатностях	carelessnesses
халатов	dressing-gown
халатом	dressing-gown
халату	dressing-gown
халаты	dressing-gown
хам	boor
хама	boor
хамам	boors
хамами	boors
хамах	boors
хаме	boor
хамов	boors
хамом	boor
хамств	boorishnesses
хамства	boorishness
хамствам	boorishnesses
хамствами	boorishnesses
хамствах	boorishnesses
хамстве	boorishness
хамство	boorishness
хамством	boorishness
хамству	boorishness
хаму	boor
хамы	boors
хан	khan
ханам	khans
ханами	khans
ханах	khans
хане	khan
ханов	khans
ханом	khan
ханств	khanates
ханства	khanate
ханствам	khanates
ханствами	khanates
ханствах	khanates
ханстве	khanate
ханство	khanate
ханством	khanate
ханству	khanate
хану	khan
ханы	khans
хаос	chaos
хаоса	chaos
хаосам	chaoses
хаосами	chaoses
хаосах	chaoses
хаосе	chaos
хаосов	chaoses
хаосом	chaos
хаосу	chaos
хаосы	chaoses
характер	character
характера	character
характерам	characters
характерами	characters
характерах	characters
характере	character
характеризовать	define
характеризоваться	be characterized
характеризуй	define
характеризуйся	be characterized
характеризуйте	define
характеризуйтесь	be characterized
характеристик	descriptions
характеристика	description
характеристикам	descriptions
характеристиками	descriptions
характеристиках	descriptions
характеристике	description
характеристики	description
характеристикой	description
характеристикою	description
характеристику	description
характерно	characteristically
характеров	characters
характером	character
характеру	character
характеры	characters
харе	muzzle
харей	muzzle
хари	muzzle
харь	muzzles
харю	muzzle
харя	muzzle
харям	muzzles
харями	muzzles
харях	muzzles
хат	huts
хата	hut
хатам	huts
хатами	huts
хатах	huts
хате	hut
хатой	hut
хатою	hut
хату	hut
хаты	hut
хаять	find fault
хвал	praises
хвала	praise
хвалам	praises
хвалами	praises
хвалах	praises
хвале	praise
хвали	compliment
хвалите	compliment
хвалить	compliment
хвалой	praise
хвалою	praise
хвалу	praise
хвалы	praise
хвастайся	boast
хвастайтесь	boast
хвастаться	boast
хватай	be enough
хватайте	be enough
хватать	be enough
хвати	be enough
хватите	be enough
хватить	be enough
хвоен	coniferous
хвойна	coniferous
хвойная	coniferous
хвойно	coniferous
хвойного	coniferous
хвойное	coniferous
хвойной	coniferous
хвойном	coniferous
хвойному	coniferous
хвойною	coniferous
хвойную	coniferous
хвойны	coniferous
хвойные	coniferous
хвойный	coniferous
хвойным	coniferous
хвойными	coniferous
хвойных	coniferous
хвост	tail
хвоста	tail
хвостам	tails
хвостами	tails
хвостах	tails
хвосте	tail
хвостик	poneytail
хвостика	poneytail
хвостикам	poneytails
хвостиками	poneytails
хвостиках	poneytails
хвостике	poneytail
хвостики	poneytails
хвостиков	poneytails
хвостиком	poneytail
хвостику	poneytail
хвостов	tails
хвостовая	tail
хвостового	tail
хвостовое	tail
хвостовой	tail
хвостовом	tail
хвостовому	tail
хвостовую	tail
хвостовые	tail
хвостовым	tail
хвостовыми	tail
хвостовых	tail
хвостом	tail
хвосту	tail
хвосты	tails
херня	crap
хижин	cabins
хижина	cabin
хижинам	cabins
хижинами	cabins
хижинах	cabins
хижине	cabin
хижиной	cabin
хижиною	cabin
хижину	cabin
хижины	cabin
химией	chemistry
химиею	chemistry
химии	chemistry
химий	chemistries
химик	chemist
химика	chemist
химикам	chemists
химиками	chemists
химиках	chemists
химике	chemist
химики	chemists
химиков	chemists
химиком	chemist
химику	chemist
химическая	chemical
химические	chemical
химический	chemical
химическим	chemical
химическими	chemical
химических	chemical
химического	chemical
химическое	chemical
химической	chemical
химическом	chemical
химическому	chemical
химическую	chemical
химию	chemistry
химия	chemistry
химиям	chemistries
химиями	chemistries
химиях	chemistries
хиппи	hippie
хирург	surgeon
хирурга	surgeon
хирургам	surgeons
хирургами	surgeons
хирургах	surgeons
хирурге	surgeon
хирурги	surgeons
хирургией	surgery
хирургиею	surgery
хирургии	surgery
хирургий	surgeries
хирургическая	surgical
хирургически	surgical
хирургические	surgical
хирургический	surgical
хирургическим	surgical
хирургическими	surgical
хирургических	surgical
хирургического	surgical
хирургическое	surgical
хирургической	surgical
хирургическом	surgical
хирургическому	surgical
хирургическою	surgical
хирургическую	surgical
хирургию	surgery
хирургия	surgery
хирургиям	surgeries
хирургиями	surgeries
хирургиях	surgeries
хирургов	surgeons
хирургом	surgeon
хирургу	surgeon
хит	hit
хита	hit
хитам	hits
хитами	hits
хитах	hits
хите	hit
хитер	sly
хитов	hits
хитом	hit
хитра	sly
хитрая	sly
хитро	slyly
хитрого	sly
хитрое	sly
хитрой	sly
хитром	sly
хитрому	sly
хитростей	cunnings
хитрости	cunning
хитрость	cunning
хитростью	cunning
хитростям	cunnings
хитростями	cunnings
хитростях	cunnings
хитрую	sly
хитры хитры	sly
хитрые	sly
хитрый	sly
хитрым	sly
хитрыми	sly
хитрых	sly
хиту	hit
хиты	hits
хищен	predatory
хищение	theft
хищением	theft
хищении	theft
хищений	thefts
хищению	theft
хищения	theft
хищениям	thefts
хищениями	thefts
хищениях	thefts
хищна	predatory
хищная	predatory
хищник	beast of prey
хищника	beast of prey
хищникам	beast of prey
хищниками	beast of prey
хищниках	beast of prey
хищнике	beast of prey
хищники	beast of prey
хищников	beast of prey
хищником	beast of prey
хищнику	beast of prey
хищно	predatory
хищного	predatory
хищное	predatory
хищной	predatory
хищном	predatory
хищному	predatory
хищную	predatory
хищны	predatory
хищные	predatory
хищный	predatory
хищным	predatory
хищными	predatory
хищных	predatory
хладнокровно	coolly
хлам	rubbish
хлама	rubbish
хламам	rubbishes
хламами	rubbishes
хламах	rubbishes
хламе	rubbish
хламов	rubbishes
хламом	rubbish
хламу	rubbish
хламы	rubbishes
хлеб	bread
хлеба	bread
хлебам	bread
хлебами	bread
хлебах	bread
хлебе	bread
хлебная	abundant
хлебник	baker
хлебника	baker
хлебникам	bakers
хлебниками	bakers
хлебниках	bakers
хлебнике	baker
хлебники	bakers
хлебников	bakers
хлебником	baker
хлебнику	baker
хлебного	abundant
хлебное	abundant
хлебной	abundant
хлебном	abundant
хлебному	abundant
хлебную	abundant
хлебные	abundant
хлебный	abundant
хлебным	abundant
хлебными	abundant
хлебных	abundant
хлебов	bread
хлебом	bread
хлебу	bread
хлебы	bread
хлопай	clap
хлопайте	clap
хлопать	clap
хлопка	cotton
хлопкам	cottons
хлопками	cottons
хлопках	cottons
хлопке	cotton
хлопки	cottons
хлопков	cottons
хлопком	cotton
хлопку	cotton
хлопок	cotton
хлопот	troubles
хлопотам	troubles
хлопотами	troubles
хлопотах	troubles
хлопоты	trouble
хлопьев	flakeses
хлопья	flakes
хлопьям	flakeses
хлопьями	flakeses
хлопьях	flakeses
хмур	gloomy
хмура	gloomy
хмурая	gloomy
хмурого	gloomy
хмурое	gloomy
хмурой	gloomy
хмуром	gloomy
хмурому	gloomy
хмурую	gloomy
хмуры	gloomy
хмурые	gloomy
хмурый	gloomy
хмурым	gloomy
хмурыми	gloomy
хмурых	gloomy
хобби	hobby
хоббит	hobbit
хоббита	hobbit
хоббитам	hobbits
хоббитами	hobbits
хоббитах	hobbits
хоббите	hobbit
хоббитов	hobbits
хоббитом	hobbit
хоббиту	hobbit
хоббиты	hobbits
ход	motion
хода	motion
ходам	motions
ходами	motions
ходатайств	applications
ходатайства	application
ходатайствам	applications
ходатайствами	applications
ходатайствах	applications
ходатайстве	application
ходатайство	application
ходатайствовать	solicit
ходатайством	application
ходатайству	application
ходатайствуй	solicit
ходатайствуйте	solicit
ходах	motions
ходе	motion
ходи	go
ходите	go
ходить	go
ходов	motions
ходом	motion
ходу	motion
ходы	motions
ходьба	walking
ходьбе	walking
ходьбой	walking
ходьбою	walking
ходьбу	walking
ходьбы	walking
ходяч	walking
ходяча	walking
ходячая	walking
ходяче	walking
ходячего	walking
ходячее	walking
ходячей	walking
ходячем	walking
ходячему	walking
ходячею	walking
ходячи	walking
ходячие	walking
ходячий	walking
ходячим	walking
ходячими	walking
ходячих	walking
ходячую	walking
хождение	walking
хождением	walking
хождении	walking
хождений	walkings
хождению	walking
хождения	walking
хождениям	walkings
хождениями	walkings
хождениях	walkings
хозяев	masters
хозяева	masters
хозяевам	masters
хозяевами	masters
хозяевах	masters
хозяек	mistresses
хозяин	master
хозяина	master
хозяине	master
хозяином	master
хозяину	master
хозяйка	mistress
хозяйкам	mistresses
хозяйками	mistresses
хозяйках	mistresses
хозяйке	mistress
хозяйки	mistress
хозяйкой	mistress
хозяйкою	mistress
хозяйку	mistress
хозяйств	farms
хозяйства	farm
хозяйствам	farms
хозяйствами	farms
хозяйствах	farms
хозяйстве	farm
хозяйствен	economic
хозяйственен	economic
хозяйственна	economic
хозяйственная	economic
хозяйственного	economic
хозяйственное	economic
хозяйственной	economic
хозяйственном	economic
хозяйственному	economic
хозяйственною	economic
хозяйственную	economic
хозяйственны	economic
хозяйственные	economic
хозяйственный	economic
хозяйственным	economic
хозяйственными	economic
хозяйственных	economic
хозяйство	farm
хозяйствование	management
хозяйствованием	management
хозяйствовании	management
хозяйствований	managements
хозяйствованию	management
хозяйствования	management
хозяйствованиям	managements
хозяйствованиями	managements
хозяйствованиях	managements
хозяйством	farm
хозяйству	farm
хоккее	hockey
хоккеев	hockeys
хоккеем	hockey
хоккеен	hockey
хоккеи	hockeys
хоккеист	hockey player
хоккеиста	hockey player
хоккеистам	hockey player
хоккеистами	hockey player
хоккеистах	hockey player
хоккеисте	hockey player
хоккеистов	hockey player
хоккеистом	hockey player
хоккеисту	hockey player
хоккеисты	hockey player
хоккей	hockey
хоккейна	hockey
хоккейная	hockey
хоккейно	hockey
хоккейного	hockey
хоккейное	hockey
хоккейной	hockey
хоккейном	hockey
хоккейному	hockey
хоккейною	hockey
хоккейную	hockey
хоккейны	hockey
хоккейные	hockey
хоккейный	hockey
хоккейным	hockey
хоккейными	hockey
хоккейных	hockey
хоккею	hockey
хоккея	hockey
хоккеям	hockeys
хоккеями	hockeys
хоккеях	hockeys
холдинг	holding company
холер	choleras
холера	cholera
холерам	choleras
холерами	choleras
холерах	choleras
холере	cholera
холерой	cholera
холерою	cholera
холеру	cholera
холеры	cholera
холестерин	cholesterol
холестерина	cholesterol
холестеринам	cholesterols
холестеринами	cholesterols
холестеринах	cholesterols
холестерине	cholesterol
холестеринов	cholesterols
холестерином	cholesterol
холестерину	cholesterol
холестерины	cholesterols
холл	hall
холла	hall
холлам	halls
холлами	halls
холлах	halls
холле	hall
холлов	halls
холлом	hall
холлу	hall
холлы	halls
холм	hill
холма	hill
холмам	hills
холмами	hills
холмах	hills
холме	hill
холмов	hills
холмом	hill
холмс	Holmes
холму	hill
холмы	hills
холод	cold
холода	cold
холодам	colds
холодами	colds
холодах	colds
холоде	cold
холоден	cold
холодильник	refrigerator
холодильника	refrigerator
холодильникам	refrigerators
холодильниками	refrigerators
холодильниках	refrigerators
холодильнике	refrigerator
холодильники	refrigerators
холодильников	refrigerators
холодильником	refrigerator
холодильнику	refrigerator
холодна	cold
холодная	cold
холоднее	colder
холодно	cold
холодного	cold
холодное	cold
холодной	cold
холодном	cold
холодному	cold
холодною	cold
холодную	cold
холодны	cold
холодные	cold
холодный	cold
холодным	cold
холодными	cold
холодных	cold
холодов	colds
холодом	cold
холоду	cold
холостяк	bachelor
холостяка	bachelor
холостякам	bachelors
холостяками	bachelors
холостяках	bachelors
холостяке	bachelor
холостяки	bachelors
холостяков	bachelors
холостяком	bachelor
холостяку	bachelor
холст	canvas
холста	canvas
холстам	canvases
холстами	canvases
холстах	canvases
холсте	canvas
холстов	canvases
холстом	canvas
холсту	canvas
холсты	canvases
хомяк	hamster
хомяка	hamster
хомякам	hamsters
хомяками	hamsters
хомяках	hamsters
хомяке	hamster
хомяки	hamsters
хомяков	hamsters
хомяком	hamster
хомяку	hamster
хор	chorus
хора	chorus
хорам	choruses
хорами	choruses
хорах	choruses
хорват	Croat
хорвата	Croat
хорватам	Croats
хорватами	Croats
хорватах	Croats
хорвате	Croat
хорватией	Croatia
хорватиею	Croatia
хорватии	Croatia
хорватию	Croatia
хорватия	Croatia
хорватов	Croats
хорватом	Croat
хорвату	Croat
хорваты	Croats
хоре	chorus
хореограф	choreographer
хореографа	choreographer
хореографам	choreographers
хореографами	choreographers
хореографах	choreographers
хореографе	choreographer
хореографов	choreographers
хореографом	choreographer
хореографу	choreographer
хореографы	choreographers
хоров	choruses
хоровод	round dance
хоровода	round dance
хороводам	round dance
хороводами	round dance
хороводах	round dance
хороводе	round dance
хороводов	round dance
хороводом	round dance
хороводу	round dance
хороводы	round dance
хоровой	choral
хорони	bury
хороните	bury
хоронить	bury
хорош	good
хороша	good
хорошая	good
хорошего	good
хорошее	good
хорошей	good
хорошем	good
хорошему	good
хорошенькая	pretty
хорошенькие	pretty
хорошенький	pretty
хорошеньким	pretty
хорошенькими	pretty
хорошеньких	pretty
хорошенько	thoroughly
хорошенького	pretty
хорошенькое	pretty
хорошенькой	pretty
хорошеньком	pretty
хорошенькому	pretty
хорошенькую	pretty
хорошею	good
хороши	good
хорошие	good
хороший	good
хорошим	good
хорошими	good
хороших	good
хорошо	good
хорошую	good
хору	chorus
хоры	choruses
хотеть	want
хотеться	like
хоти	want
хотите	want
хоть	though
хотя	though
хохла	crest
хохлам	crests
хохлами	crests
хохлах	crests
хохле	crest
хохлов	crests
хохлом	crest
хохлу	crest
хохлы	crests
хохол	crest
храбр	brave
храбра	brave
храбрая	brave
храбро	bravely
храброго	brave
храброе	brave
храброй	brave
храбром	brave
храброму	brave
храбрости	bravery
храбрость	bravery
храбростью	bravery
храброю	brave
храбрую	brave
храбры	brave
храбрые	brave
храбрый	brave
храбрым	brave
храбрыми	brave
храбрых	brave
храм	temple
храма	temple
храмам	temples
храмами	temples
храмах	temples
храме	temple
храмов	temples
храмом	temple
храму	temple
храмы	temples
хранение	keeping
хранением	keeping
хранении	keeping
хранению	keeping
хранения	keeping
храни	keep
хранилищ	depositories
хранилища	depository
хранилищам	depositories
хранилищами	depositories
хранилищах	depositories
хранилище	depository
хранилищем	depository
хранилищу	depository
хранись	be kept
храните	keep
хранителе	keeper
хранителей	keepers
хранителем	keeper
хранители	keepers
хранитель	keeper
хранителю	keeper
хранителя	keeper
хранителям	keepers
хранителями	keepers
хранителях	keepers
хранитесь	be kept
хранить	keep
храниться	be kept
храп	snore
храпа	snore
храпам	snores
храпами	snores
храпах	snores
храпе	snore
храпов	snores
храпом	snore
храпу	snore
храпы	snores
хребет	spine
хребта	spine
хребтам	spines
хребтами	spines
хребтах	spines
хребте	spine
хребтов	spines
хребтом	spine
хребту	spine
хребты	spines
хрен	horse-radish
хрени	crap
хренов	lousy
хренова	lousy
хреновая	lousy
хреново	lousy
хренового	lousy
хреновое	lousy
хреновой	lousy
хреновом	lousy
хреновому	lousy
хреновою	lousy
хреновую	lousy
хреновы	lousy
хреновые	lousy
хреновый	lousy
хреновым	lousy
хреновыми	lousy
хреновых	lousy
хрень	crap
хренью	crap
христа	Christ
христам	Christs
христами	Christs
христах	Christs
христе	Christ
христиан	Christians
христианам	Christians
христианами	Christians
христианах	Christians
христиане	Christians
христианин	Christian
христианина	Christian
христианине	Christian
христианином	Christian
христианину	Christian
христианская	Christian
христианские	Christian
христианский	Christian
христианским	Christian
христианскими	Christian
христианских	Christian
христианского	Christian
христианское	Christian
христианской	Christian
христианском	Christian
христианскому	Christian
христианскую	Christian
христианств	Christianities
христианства	Christianity
христианствам	Christianities
христианствами	Christianities
христианствах	Christianities
христианстве	Christianity
христианство	Christianity
христианством	Christianity
христианству	Christianity
христом	Christ
христос	Christ
христу	Christ
христы	Christs
хром	lame
хрома	lame
хромай	limp
хромайте	limp
хромать	limp
хромая	lame
хромо	lame
хромого	lame
хромое	lame
хромой	lame
хромом	lame
хромому	lame
хромосом	chromosomes
хромосома	chromosome
хромосомам	chromosomes
хромосомами	chromosomes
хромосомах	chromosomes
хромосоме	chromosome
хромосомой	chromosome
хромосомою	chromosome
хромосому	chromosome
хромосомы	chromosome
хромую	lame
хромы	lame
хромые	lame
хромым	lame
хромыми	lame
хромых	lame
хроническая	chronic
хронические	chronic
хронический	chronic
хроническим	chronic
хроническими	chronic
хронических	chronic
хронического	chronic
хроническое	chronic
хронической	chronic
хроническом	chronic
хроническому	chronic
хроническую	chronic
хронологией	chronology
хронологиею	chronology
хронологии	chronology
хронологий	chronologies
хронологическая	chronological
хронологические	chronological
хронологический	chronological
хронологическим	chronological
хронологическими	chronological
хронологических	chronological
хронологического	chronological
хронологическое	chronological
хронологической	chronological
хронологическом	chronological
хронологическому	chronological
хронологическою	chronological
хронологическую	chronological
хронологию	chronology
хронология	chronology
хронологиям	chronologies
хронологиями	chronologies
хронологиях	chronologies
хрупка	fragile
хрупкая	fragile
хрупки	fragile
хрупкие	fragile
хрупкий	fragile
хрупким	fragile
хрупкими	fragile
хрупких	fragile
хрупко	fragile
хрупкого	fragile
хрупкое	fragile
хрупкой	fragile
хрупком	fragile
хрупкому	fragile
хрупкую	fragile
хрупок	fragile
хруст	crunch
хруста	crunch
хрустален	crystal
хрустальна	crystal
хрустальная	crystal
хрустально	crystal
хрустального	crystal
хрустальное	crystal
хрустальной	crystal
хрустальном	crystal
хрустальному	crystal
хрустальною	crystal
хрустальную	crystal
хрустальны	crystal
хрустальные	crystal
хрустальный	crystal
хрустальным	crystal
хрустальными	crystal
хрустальных	crystal
хрустам	crunches
хрустами	crunches
хрустах	crunches
хрусте	crunch
хрустов	crunches
хрустом	crunch
хрусту	crunch
хрусты	crunches
худ	lean
худа	lean
худая	lean
худее	leaner
худо	lean
худого	lean
худое	lean
художеств	arts
художества	art
художествам	arts
художествами	arts
художествах	arts
художестве	art
художествен	artistic
художественен	artistic
художественна	artistic
художественная	artistic
художественно	artistically
художественного	artistic
художественное	artistic
художественной	artistic
художественном	artistic
художественному	artistic
художественную	artistic
художественны	artistic
художественные	artistic
художественный	artistic
художественным	artistic
художественными	artistic
художественных	artistic
художество	art
художеством	art
художеству	art
художник	artist
художника	artist
художникам	artists
художниками	artists
художниках	artists
художнике	artist
художники	artists
художников	artists
художником	artist
художнику	artist
художниц	artists
художница	artist
художницам	artists
художницами	artists
художницах	artists
художнице	artist
художницей	artist
художницею	artist
художницу	artist
художницы	artist
худой	lean
худом	lean
худому	lean
худою	lean
худую	lean
худшая	worse
худшего	worse
худшее	worse
худшей	worse
худшем	worse
худшему	worse
худшие	worse
худшим	worse
худшими	worse
худших	worse
худшую	worse
худы	lean
худые	lean
худым	lean
худыми	lean
худых	lean
хуже	worse
хуй	dick
хули	abuse
хулиган	hooligan
хулигана	hooligan
хулиганам	hooligans
хулиганами	hooligans
хулиганах	hooligans
хулигане	hooligan
хулиганов	hooligans
хулиганом	hooligan
хулиганств	hooliganisms
хулиганства	hooliganism
хулиганствам	hooliganisms
хулиганствами	hooliganisms
хулиганствах	hooliganisms
хулиганстве	hooliganism
хулиганство	hooliganism
хулиганством	hooliganism
хулиганству	hooliganism
хулигану	hooligan
хулиганы	hooligans
хулите	abuse
хулить	abuse
хунт	juntas
хунта	junta
хунтам	juntas
хунтами	juntas
хунтах	juntas
хунте	junta
хунтой	junta
хунтою	junta
хунту	junta
хунты	junta
хутор	khutor
хутора	khutor
хуторам	khutors
хуторами	khutors
хуторах	khutors
хуторе	khutor
хуторов	khutors
хутором	khutor
хутору	khutor
царапин	scratches
царапина	scratch
царапинам	scratches
царапинами	scratches
царапинах	scratches
царапине	scratch
царапиной	scratch
царапину	scratch
царапины	scratch
царе	tsar
царевен	tsarevnas
царевич	tsarevitch
царевича	tsarevitch
царевичам	tsarevitches
царевичами	tsarevitches
царевичах	tsarevitches
царевиче	tsarevitch
царевичей	tsarevitches
царевичем	tsarevitch
царевичи	tsarevitches
царевичу	tsarevitch
царевна	tsarevna
царевнам	tsarevnas
царевнами	tsarevnas
царевнах	tsarevnas
царевне	tsarevna
царевной	tsarevna
царевною	tsarevna
царевну	tsarevna
царевны	tsarevna
царей	tsars
царем	tsar
царите	reign
царить	reign
цариц	tsarinas
царица	tsarina
царицам	tsarinas
царицами	tsarinas
царицах	tsarinas
царице	tsarina
царицей	tsarina
царицею	tsarina
царицу	tsarina
царицы	tsarina
царская	royal
царские	royal
царский	royal
царским	royal
царскими	royal
царских	royal
царского	royal
царское	royal
царской	royal
царском	royal
царскому	royal
царскую	royal
царств	reigns
царства	reign
царствам	reigns
царствами	reigns
царствах	reigns
царстве	reign
царство	reign
царствование	reign
царствованием	reign
царствовании	reign
царствований	reigns
царствованию	reign
царствования	reign
царствованиям	reigns
царствованиями	reigns
царствованиях	reigns
царством	reign
царству	reign
царь	tsar
царя	tsar
царям	tsars
царями	tsars
царях	tsars
цвести	flower
цвет	color
цвета	color
цвете	color
цветение	glowering
цветением	glowering
цветении	glowering
цветений	glowerings
цветению	glowering
цветения	glowering
цветениям	glowerings
цветениями	glowerings
цветениях	glowerings
цвети	flower
цветите	flower
цветка	flower
цветке	flower
цветков	flowering
цветкова	flowering
цветковая	flowering
цветково	flowering
цветкового	flowering
цветковое	flowering
цветковой	flowering
цветковом	flowering
цветковому	flowering
цветковою	flowering
цветковую	flowering
цветковы	flowering
цветковые	flowering
цветковый	flowering
цветковым	flowering
цветковыми	flowering
цветковых	flowering
цветком	flower
цветку	flower
цветная	coloured
цветного	coloured
цветное	coloured
цветной	coloured
цветном	coloured
цветному	coloured
цветную	coloured
цветные	coloured
цветным	coloured
цветными	coloured
цветных	coloured
цветок	flower
цветом	color
цветочек	flower
цветочка	flower
цветочкам	flowers
цветочками	flowers
цветочках	flowers
цветочке	flower
цветочки	flowers
цветочков	flowers
цветочком	flower
цветочку	flower
цвету	color
цветы	flowers
цел	whole
цела	whole
целая	whole
целевой	having a special purpose
целей	aims
целесообразен	expedient
целесообразна	expedient
целесообразная	expedient
целесообразного	expedient
целесообразное	expedient
целесообразной	expedient
целесообразном	expedient
целесообразному	expedient
целесообразности	expediency
целесообразность	expediency
целесообразностью	expediency
целесообразною	expedient
целесообразную	expedient
целесообразны	expedient
целесообразные	expedient
целесообразный	expedient
целесообразным	expedient
целесообразными	expedient
целесообразных	expedient
цели	aim
целиком	whole
целинен	virgin
целинна	virgin
целинная	virgin
целинно	virgin
целинного	virgin
целинное	virgin
целинной	virgin
целинном	virgin
целинному	virgin
целинною	virgin
целинную	virgin
целинны	virgin
целинные	virgin
целинный	virgin
целинным	virgin
целинными	virgin
целинных	virgin
цело	whole
целовать	kiss
целоваться	kiss
целого	whole
целое	whole
целой	whole
целом	whole
целому	whole
целостей	safeties
целости	safety
целостности	integrity
целостность	integrity
целостностью	integrity
целость	safety
целостью	safety
целостям	safeties
целостями	safeties
целостях	safeties
целою	whole
целуй	kiss
целуйся	kiss
целуйте	kiss
целуйтесь	kiss
целую	whole
целы	whole
целые	whole
целый	whole
целым	whole
целыми	whole
целых	whole
цель	aim
целью	aim
целям	aims
целями	aims
целях	aims
цемент	cement
цемента	cement
цементам	cements
цементами	cements
цементах	cements
цементе	cement
цементов	cements
цементом	cement
цементу	cement
цементы	cements
цен	prices
цена	price
ценам	prices
ценами	prices
ценах	prices
цене	price
ценен	valuable
цензура	censorship
цензуре	censorship
цензурой	censorship
цензурою	censorship
цензуру	censorship
цензуры	censorship
цени	value
ценись	be worth
цените	value
ценителе	judge
ценителей	judges
ценителем	judge
ценители	judges
ценитель	judge
ценителю	judge
ценителя	judge
ценителям	judges
ценителями	judges
ценителях	judges
ценитесь	be worth
ценить	value
цениться	be worth
ценна	valuable
ценная	valuable
ценник	price-list
ценника	price-list
ценникам	price-list
ценниками	price-list
ценниках	price-list
ценнике	price-list
ценники	price-list
ценников	price-list
ценником	price-list
ценнику	price-list
ценного	valuable
ценное	valuable
ценной	valuable
ценном	valuable
ценному	valuable
ценностей	values
ценность	value
ценностью	value
ценностям	values
ценностями	values
ценностях	values
ценную	valuable
ценны	valuable
ценные	valuable
ценный	valuable
ценным	valuable
ценными	valuable
ценных	valuable
ценой	price
ценообразование	price formation
ценообразованием	price formation
ценообразовании	price formation
ценообразований	price formation
ценообразованию	price formation
ценообразования	price formation
ценообразованиям	price formation
ценообразованиями	price formation
ценообразованиях	price formation
ценою	price
цент	cent
цента	cent
центам	cents
центами	cents
центах	cents
центе	cent
центнер	metric centner
центнера	metric centner
центнерам	metric centner
центнерами	metric centner
центнерах	metric centner
центнере	metric centner
центнеров	metric centner
центнером	metric centner
центнеру	metric centner
центнеры	metric centner
центов	cents
центом	cent
центр	center
центра	center
централен	central
централизацией	centralization
централизации	centralization
централизаций	centralizations
централизацию	centralization
централизация	centralization
централизациям	centralizations
централизациями	centralizations
централизациях	centralizations
централизован	centralized
централизованна	centralized
централизованная	centralized
централизованно	centralized
централизованного	centralized
централизованное	centralized
централизованной	centralized
централизованном	centralized
централизованному	centralized
централизованною	centralized
централизованную	centralized
централизованны	centralized
централизованные	centralized
централизованный	centralized
централизованным	centralized
централизованными	centralized
централизованных	centralized
центральна	central
центральная	central
центрально	central
центрального	central
центральное	central
центральной	central
центральном	central
центральному	central
центральную	central
центральны	central
центральные	central
центральный	central
центральным	central
центральными	central
центральных	central
центрам	centers
центрами	centers
центрах	centers
центре	center
центров	centers
центром	center
центру	center
центры	centers
центу	cent
центы	cents
цену	price
цены	price
цепей	chains
цепи	chain
цепляйся	catch
цепляйтесь	catch
цепляться	catch
цепная	chain
цепного	chain
цепное	chain
цепной	chain
цепном	chain
цепному	chain
цепную	chain
цепные	chain
цепным	chain
цепными	chain
цепных	chain
цепочек	chains
цепочка	chain
цепочкам	chains
